topic_title,categories,is_pm,post,like_count,reply_count,url,created_at
Favicon or browser icon,Feedback|Feature requests,No,"Yes please!!! As great as the write.as logo looks as a favicon, it's not mine! :slight_smile:",1,1,https://discuss.write.as/t/favicon-or-browser-icon/582/2,2019-07-02T21:36:16.367Z
"Removing ""Post Unpublished by Author"" Post",Help,No,"I realize this is going to seem fishy but I promise it's actually just extremely idiotic of me...

So I received a pretty standard phishing/spam/threatening email and I thought it would be interesting to see what happened if I forwarded it to [my blog](http://extratone.com)'s publish-by-email address... Somehow, I ended up pinning it to my menu. 
![Screenshot_2019-07-13%20Extratone|690x186](upload://tBd1ZEOvjPYm1XDuv3kqDD30KFq.png)

But when I try to actually navigate to[that hyperlink](https://extratone.com/your-account-was-under-attack-change-your-access-data) to unpin/delete it, I receive the standard ""post unpublished by author"" prompt.
![Screenshot_2019-07-13%20Unpublished%20%E2%80%94%20Write%20as|690x108](upload://y49GDjnW9KvbOyT4Ps6Flat4SSl.png) 

If there's any way to delete this image, I promise I will never fool around again for the rest of my life...

Thank you.",0,0,https://discuss.write.as/t/removing-post-unpublished-by-author-post/725/1,2019-07-13T07:21:28.499Z
"Removing ""Post Unpublished by Author"" Post",Help,No,Thank you so much for your help!,0,0,https://discuss.write.as/t/removing-post-unpublished-by-author-post/725/3,2019-07-13T23:43:40.874Z
Planning WriteFreely v0.13,Development,No,Would image uploads be going to Snap.As? Sorry if this has already been addressed.,0,1,https://discuss.write.as/t/planning-writefreely-v0-13/1311/4,2020-04-23T16:54:44.726Z
RE: Themes,-,Yes,"https://discuss.write.as/t/themes/952/44

Hey Matt! Sorry to bother you - I was just wondering if you'd gotten my message on Instagram about attribution for this theme.

Thanks!",0,0,https://discuss.write.as/t/re-themes/1453/1,2020-05-28T19:18:26.547Z
Word/Character Count Limit for Letters?,Help,No,"I've noticed that some of my longer posts have not shown up in my inbox (I'm subscribed to my own Letters to see how they appear to readers) and I was wondering if there is a set word/character count limit for posts being sent out with the feature. Obviously, it's totally understandable if there is, but it'd be nice to know the number going forward.

Thank you!",0,0,https://discuss.write.as/t/word-character-count-limit-for-letters/1604/1,2020-07-12T03:45:29.677Z
Word/Character Count Limit for Letters?,Help,No,An update: all posts since have arrived in my inbox promptly and beautifully. Looks like this might've just been a personal delusion.,1,0,https://discuss.write.as/t/word-character-count-limit-for-letters/1604/3,2020-10-02T08:12:58.136Z
Cancel Add-On Subscriptions,Help,No,"I love Submit.as but am definitely not going to be really using it in the foreseeable future. I was wondering how to remove it from my monthly subscription. Would it be best to use the ""Cancel Subscription"" option and then immediately resubscribe minus the add-ons I'd like to remove?",0,0,https://discuss.write.as/t/cancel-add-on-subscriptions/1923/1,2020-10-14T02:40:04.199Z
Rich Media Embeds,Announcements,No,"I just wanna say thank you guys for including Bandcamp embed support… I suspect you already know why that’s important to me, but yeah… Y’all are good uns. :heavy_heart_exclamation:",2,0,https://discuss.write.as/t/rich-media-embeds/2425/8,2021-02-16T23:23:57.113Z
Word/Character Count Limit for Letters?,Help,No,"_Another update_: 

I think I realized the problem. Part of my Writeas workflow has always involved using **scheduled posts** as a method of previewing how a post is going to look on the site as I’m composing. In the past (namely, in the post I was referring to originally in this thread and others,) I had used the same post as the final, published one, by changing the date from some point in the distant future to the current time.

It didn’t occur to me until just recently that this could be very confusing for the site’s backend, so I’ve been making an effort to **create a new post at the point I’m ready to publish** and deleting the scheduled draft. Since, I’ve had absolutely zero issues with new posts arriving in my inbox. 

I thought I’d update this thread just in case anyone was doing something similar.",1,0,https://discuss.write.as/t/word-character-count-limit-for-letters/1604/4,2021-04-25T02:39:02.622Z
