Account address,Show boosts
rainonwires@merveilles.town,true
DCLXVI@mstdn.io,true
aris@mamot.fr,true
GR36@mastodon.social,true
skobeloffworld@mas.to,true
ccrayton@mastodon.social,true
datafilesbot@botsin.space,true
welshpixie@mastodon.art,true
Aleums@octodon.social,true
valrus@icosahedron.website,true
metabolist@mastodon.social,true
eurasierboy@mastodon.social,true
sindastra@chaos.social,true
jaymcgavren@mastodon.social,true
Linux_in_a_Bit@linuxrocks.online,true
tychi@smallcamp.art,true
jayrope@mastodon.online,true
liaizon@wake.st,true
nytpu@tilde.zone,true
scearley@mastodon.art,true
argentum@mastodon.online,true
schratze@todon.nl,true
denverthelastdinosaur@mastodon.social,true
js@mstdn.io,true
MinimalistEdTech@mastodon.online,true
seachanged@mastodon.social,true
mathias@hellquist.eu,true
brennen@federation.p1k3.com,true
vortex_egg@hackers.town,true
gerald_leppert@bonn.social,true
Dashtop@mastodon.online,true
mattgade@mas.to,true
maddieprobably@mastodon.social,true
kittenlikeasmallcat@anarchism.space,true
spud@octodon.social,true
wikipediahaiku@botsin.space,true
jordanmerrick@mastodon.social,true
MattWilcox@mastodon.social,true
pth@mastodon.social,true
interocitor@mastodon.art,true
mpjeff@mastodon.social,true
faho@octodon.social,true
faizalr@mastodon.social,true
renatolond@masto.donte.com.br,true
crossposter@masto.donte.com.br,true
romina@mastodon.social,true
siege@octodon.social,true
pantransautie@mastodon.social,true
bllrdyldz@mastodon.social,true
dansup@pixelfed.social,true
brand@mastodon.social,true
jess@pixie.town,true
rgx@muensterland.social,true
Motorod@mastodon.social,true
alper@oyd.social,true
ndpi@merveilles.town,true
prehensile@tech.lgbt,true
genderoftheday@botsin.space,true
steviemcfly@skull.website,true
nev@bananachips.club,true
caranmegil@mstdn.social,true
maya@occult.institute,true
LemmyDev@mastodon.social,true
FediFollows@mastodon.online,true
watch@fediverse.network,true
noelle@elekk.xyz,true
g@nerdculture.de,true
mtk_@mastodon.social,true
tildetown@tiny.tilde.website,true
Argus@mastodon.technology,true
n0btc@dragonscave.space,true
wada@mastodon.social,true
chriswere@social.snopyta.org,true
soup_reviews@mastodon.social,true
skander@slothy.win,true
twfljeb@mstdn.social,true
allTheTyping@botsin.space,true
microscope@botsin.space,true
cms@mastodon.social,true
pythonhub@mastodon.social,true
SafetyBot@scintilla.social,true
twitter@mastodon.technology,true
snap_as@abunchtell.com,true
jakel@writing.exchange,true
eliseidenise@mastodon.social,true
kass@monads.online,true
verge_ebooks@botsin.space,true
owl@beach.city,true
defcon201@hostux.social,true
franknog@mastodon.technology,true
wikihow@mastodon.social,true
brainwane@mastodon.social,true
gardevoir@glaceon.social,true
zens@merveilles.town,true
commandandcontrol@botsin.space,true
dheadshot@mastodon.social,true
freon@trinitron.town,true
rarepublic@mastodon.social,true
horsefucker_thicc@monads.online,true
finn@surfin.dog,true
witchy@redroo.ml,true
gregf@animal.church,true
galdrakinn@godforsaken.website,true
deletgit@mastodon.social,true
kensanata@octodon.social,true
trunk@botsin.space,true
phpc@phpc.social,true
drwho@hackers.town,true
CM_jusdepatate@mastodon.social,true
steven_ovadia@writing.exchange,true
lordbowlich@hackers.town,true
kewl@efdn.club,true
alexander@animal.church,true
tychi@fosstodon.org,true
Plaster@mastodon.social,true
CalerayRsf@mastodon.social,true
borishaifa@mastodon.social,true
0hlov3@mstdn.social,true
boblyle@mastodon.social,true
kyliesomasis@mastodon.social,true
Aleums@radical.town,true
randomColorContrasts@botsin.space,true
bodega@botsin.space,true
mikestone@pixelfed.social,true
nextcloud@mastodon.xyz,true
librefree@librem.one,true
darius@friend.camp,true
ifixcoinops@mastodon.social,true
glitter_brawl@mastodon.social,true
unlofl@mastodon.technology,true
zpojqwfejwfhiunz@hackers.town,true
tsempex@mastodon.social,true
Verfassungklage@mastodon.social,true
internetwolf@chitter.xyz,true
DeltaFlood@jorts.horse,true
brogepi@radical.town,true
wandrew@godforsaken.website,true
ItsMorgan@myasstodon.xyz,true
matt_2@mastodon.social,true
SonOfFanon@fanontodon.zapto.org,true
SDF@mastodon.sdf.org,true
calebjasik@mastodon.social,true
vicorva@social.scribblers.club,true
Smithums@mastodon.social,true
JoYo@thejoyo.com,true
skateordie@mastodon.social,true
eloquence@social.coop,true
kev@fosstodon.org,true
conceitedjerk@tilde.zone,true
ccoutreach87@mastodon.social,true
Inklings@mastodon.online,true
danburzo@mastodon.social,true
ttscoff@nojack.easydns.ca,true
ZySoua@mastodon.ml,true
splash730@mastodon.online,true
Elite_Shinobi@mastodon.online,true
globcoco@mamot.fr,true
zx@mastodon.xyz,true
trevdor@toot.cafe,true
jdesrosiers@mastodon.social,true
david@mastodon.technology,true
cooper@fosstodon.org,true
blog@hub.fosstodon.org,true
brandonsjournal@fosstodon.org,true
neustadt@mamot.fr,true
markosaric@fosstodon.org,true
bstacey@icosahedron.website,true
apollo@seizemeans.com,true
cjeller@writing.exchange,true
tychi@mastodon.social,true
vulpe@mastodon.social,true
blog@simbly.me,true
dankwraith@monads.online,true
knownrobes@godforsaken.website,true
wobblysaeeda@mastodon.art,true
touk@smores.town,true
paulfree14@todon.nl,true
dockers@godforsaken.website,true
alex@godforsaken.website,true
mike@fosstodon.org,true
codl@chitter.xyz,true
NeoNacho@mastodon.social,true
geekgonecrazy@fosstodon.org,true
bryn@godforsaken.website,true
Janicew@mastodon.social,true
anthroposamu@mastodon.social,true
colinkiama@mastodon.social,true
universal_traveler@mastodon.technology,true
rmathew@mastodon.social,true
avalos@cybre.space,true
gueorgui@merveilles.town,true
xuv@merveilles.town,true
ZionSpectre@cybre.space,true
niconiconi@cybre.space,true
cypnk@mastodon.social,true
lj_writes@fandom.ink,true
Gnes@weirder.earth,true
elementary@mastodon.social,true
hasya23@jorts.horse,true
evan@skull.website,true
jasmineelm@mastodon.social,true
esvrld@octodon.social,true
Almafeta@mastodon.social,true
davidblue@fosstodon.org,true
b@writing.exchange,true
dieselgoth@mastodon.social,true
b@tilde.zone,true
db__@pixelfed.social,true
