Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2017-12-31,Christine,1983,https://boxd.it/n2lM7,5,,,2017-09-30
2017-12-15,Summer with Monika,1953,https://boxd.it/msMnh,,,,2017-12-14
2017-12-20,Chernobyl Diaries,2012,https://boxd.it/mDm0N,3,,,2017-12-19
2017-12-20,The Lost Boys,1987,https://boxd.it/mDmq7,3.5,,,2017-12-19
2017-12-27,The Neon Demon,2016,https://boxd.it/mRByt,2,,,2017-12-27
2017-12-29,Pixels,2015,https://boxd.it/mVT0n,0.5,,,2017-12-28
2017-12-31,Iron Man,2008,https://boxd.it/n2kvp,4,Yes,,2017-12-29
2017-12-31,Spectre,2015,https://boxd.it/n2jH5,3,Yes,,2017-12-31
2018-01-17,National Treasure,2004,https://boxd.it/nKjPr,5,Yes,,2018-01-16
2018-01-24,Inception,2010,https://boxd.it/o0Jsb,2.5,Yes,,2018-01-22
2018-01-27,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/o75MT,2,,,2018-01-22
2018-01-24,The Curious Case of Benjamin Button,2008,https://boxd.it/o10qV,3.5,Yes,,2018-01-23
2018-01-25,Jack Reacher: Never Go Back,2016,https://boxd.it/o2DFx,1,,,2018-01-24
2018-01-25,xXx: Return of Xander Cage,2017,https://boxd.it/o2QmD,1,,,2018-01-24
2018-01-27,Cop Car,2015,https://boxd.it/o6qO5,4.5,,,2018-01-25
2018-01-30,Shrek,2001,https://boxd.it/odZa9,5,Yes,,2018-01-28
2018-01-30,Return of the Jedi,1983,https://boxd.it/oeiGj,2,Yes,,2018-01-29
2018-01-30,Jaws,1975,https://boxd.it/oeGIj,2,Yes,,2018-01-29
2018-01-30,King Kong,2005,https://boxd.it/oeQRv,5,Yes,,2018-01-30
2018-02-01,Star Trek Beyond,2016,https://boxd.it/oiTKZ,3.5,Yes,,2018-02-01
2018-02-06,Ant-Man,2015,https://boxd.it/otokj,2.5,,,2018-02-05
2018-02-07,Need for Speed,2014,https://boxd.it/ov9ih,1.5,,,2018-02-06
2018-02-08,Where the Heart Is,2000,https://boxd.it/oxDar,5,,,2018-02-07
2018-02-09,Jurassic World,2015,https://boxd.it/ozbMh,1,,,2018-02-08
2018-02-09,Beauty and the Beast,1991,https://boxd.it/ozbN5,5,Yes,,2018-02-08
2018-02-09,Ocean's Thirteen,2007,https://boxd.it/ozO3Z,4,,,2018-02-09
2018-02-11,Winchester,2018,https://boxd.it/oDT7P,1,,,2018-02-10
2018-02-12,Cars 3,2017,https://boxd.it/oH2Lb,4,,,2018-02-12
2018-02-13,The Adventures of Tintin,2011,https://boxd.it/oHdEZ,3,,,2018-02-12
2018-02-13,Ocean's Eleven,2001,https://boxd.it/oIWWB,4.5,Yes,,2018-02-13
2018-02-15,The End of the Tour,2015,https://boxd.it/oMolJ,4,,,2018-02-14
2018-02-18,Mom and Dad,2017,https://boxd.it/oTP2N,5,,,2018-02-16
2018-02-25,Monsters vs Aliens,2009,https://boxd.it/p9U39,1,,,2018-02-24
2018-03-02,Evan Almighty,2007,https://boxd.it/pmCIp,0.5,,,2018-03-02
2018-03-04,Motocrossed,2001,https://boxd.it/prwuB,5,Yes,,2018-03-03
2018-03-08,Charlie and the Chocolate Factory,2005,https://boxd.it/pAlsH,4,,,2018-03-06
2018-03-15,The Princess Diaries,2001,https://boxd.it/pSf4Z,4,Yes,,2018-03-14
2018-03-31,Jason and the Argonauts,1963,https://boxd.it/qtKy1,4,,,2018-03-30
2018-04-02,Take Your Pills,2018,https://boxd.it/qyn8p,4,,,2018-04-01
2018-04-17,Helvetica,2007,https://boxd.it/r7xip,2.5,Yes,,2018-04-17
2018-04-17,Star Wars: The Last Jedi,2017,https://boxd.it/r7C0v,4.5,,,2018-04-17
2018-04-24,The Secret of NIMH,1982,https://boxd.it/rkFuf,4,Yes,,2018-04-23
