
Date,Name,Tags,URL,Description
2021-07-18,PARABLES - Bizarrely Profound Youth Films in The Oughts ,"spectacle, disney, 90s, 2000s, made for tv, dcom, youth",https://boxd.it/cLlh6,"I think you probably know right away where I'm trying to go with this, but if not, ""<a href=""https://bilge.world/johnny-tsunami-smart-house-slavery"" rel=""nofollow"">Johnny Tsunami VI: Separate, But Equal</a>"" is a pretty good place to start."

Position,Name,Year,URL,Description
1,Smart House,1999,https://boxd.it/1cB0,
2,Pixel Perfect,2004,https://boxd.it/45sm,
3,Zenon: Girl of the 21st Century,1999,https://boxd.it/1djc,
4,Confessions of a Teenage Drama Queen,2004,https://boxd.it/1UyE,
5,Get a Clue,2002,https://boxd.it/1unU,
6,Cow Belles,2006,https://boxd.it/1wXq,
7,Tru Confessions,2002,https://boxd.it/2pPw,
8,Ice Princess,2005,https://boxd.it/1QjA,
9,The Luck of the Irish,2001,https://boxd.it/Obs,
10,Cadet Kelly,2002,https://boxd.it/1OVW,
