Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2017-12-20,Chernobyl Diaries,2012,https://boxd.it/mDm0N,3,,lol,,2017-12-19
2017-12-20,The Lost Boys,1987,https://boxd.it/mDmq7,3.5,,<b>KIEFO LOL</b>,,2017-12-19
2017-12-27,The Neon Demon,2016,https://boxd.it/mRByt,2,,"Hey, let’s create a completely substancelesz film to showcase al the “cool” shots we can come up with. Pointless and hideously cliche. Two stars for the camera work. Just put your shit in a gallery and don’t waste my time with plotless nonsense.",,2017-12-27
2017-12-29,Pixels,2015,https://boxd.it/mVT0n,0.5,,<b>Kill me.</b>,,2017-12-28
2017-12-31,Spectre,2015,https://boxd.it/n2jH5,3,Yes,"Big Dan - his face, a jowly slate.

Big Aston - its designator, incorrect and short-lived.

Small Bro - his villainy, reliably unimaginative.

<b>Bad Movie, Okay Bond</b>.",,2017-12-31
2017-12-31,Iron Man,2008,https://boxd.it/n2kvp,4,Yes,"Bobby Downer is a younger one. J.A.R.V.I.S. wakes journo girl up in the morning with all the same bullshit as Bixby will now, but it’s not annoying because it’s 2008. I’m 14 and I imagine how cool it would be to be Tony Stork with his cars and immortal companions, but Malibu is bleak as hell and the Patriot Act is still Bad News. It’s a shame Marvel had to grow up again because it was doomed to fail in an ugly way.",,2017-12-29
2018-01-17,National Treasure,2004,https://boxd.it/nKjPr,5,Yes,I’m going to steal the Declaration of Independence.,,2018-01-16
2018-01-24,Inception,2010,https://boxd.it/o0Jsb,2.5,Yes,"This film is not nearly as complex as everyone insisted it was, so what was the point, even? ",,2018-01-22
2018-01-24,The Curious Case of Benjamin Button,2008,https://boxd.it/o10qV,3.5,Yes,"I don’t like how this movie makes me feel, but it does make one feel a healthy variety of discomfort. It’s so <i>human</i>, ya know? That is to say... <i>how American</i>! We’re born and we die. Really cool Stuff there. Just don’t make me look at that horrid monstrosity <i style=""font-weight: bold;"">ever again</i>.",,2018-01-23
2018-01-25,Jack Reacher: Never Go Back,2016,https://boxd.it/o2DFx,1,,"Hastily-made, sloppy, generic, forgettable. A superb example of the genre.",,2018-01-24
2018-01-25,xXx: Return of Xander Cage,2017,https://boxd.it/o2QmD,1,,<i>Vin Diesel Fucks the Whole World</i> has way too many parallels with <i>Marvel’s Agents of S.H.I.E.L.D.</i> Too much Trapstep. You might as well just play <i>Saint’s Row</i>.,,2018-01-24
