Date,Name,Year,Letterboxd URI
2018-01-29,Tank,1984,https://boxd.it/2lwg
2018-03-11,Searching for Bill,2012,https://boxd.it/5bj8
2018-03-11,The Devil At Your Heels,1981,https://boxd.it/EGU
2018-03-11,Trouble Man,1972,https://boxd.it/1Bgw
2018-03-11,Gator,1976,https://boxd.it/2luO
2018-03-11,Escape to Witch Mountain,1975,https://boxd.it/1NjC
2018-03-27,The Golem: How He Came into the World,1920,https://boxd.it/262g
2018-03-28,Bridge to Terabithia,2007,https://boxd.it/28YG
2018-04-21,Keith Jarrett: The Art of Improvisation,2004,https://boxd.it/4Bvs
2018-05-01,SpaceCamp,1986,https://boxd.it/1PsG
2018-10-16,Non-Fiction,2018,https://boxd.it/gUKg
2018-11-12,Secondhand Lions,2003,https://boxd.it/1QHC
2018-12-13,Atonement,2007,https://boxd.it/24ui
2019-09-26,Sabrina,1954,https://boxd.it/21tc
2019-09-27,Simon Amstell: Set Free,2019,https://boxd.it/n64I
2019-12-02,I Lost My Body,2019,https://boxd.it/lAYs
2020-02-20,Jason Bourne,2016,https://boxd.it/ayYy
2020-08-30,Network,1976,https://boxd.it/1VqG
2020-08-30,Sweet Smell of Success,1957,https://boxd.it/29aW
2020-08-30,Ace in the Hole,1951,https://boxd.it/1vXk
2020-08-30,The Front Page,1974,https://boxd.it/299a
2020-08-30,The Post,2017,https://boxd.it/fTeG
2020-09-05,Class Action Park,2020,https://boxd.it/nvJm
2020-09-14,The Poseidon Adventure,1972,https://boxd.it/2a9g
2020-10-21,The Outpost,2019,https://boxd.it/jlxW
2020-11-01,Coco,2017,https://boxd.it/bYJQ
2020-11-02,Red Tails,2012,https://boxd.it/2oqg
2020-11-06,Putney Swope,1969,https://boxd.it/1gV4
2020-12-04,Nuts!,2016,https://boxd.it/d4Jk
2020-12-13,Lara Croft: Tomb Raider,2001,https://boxd.it/27G2
2020-12-13,Lara Croft: Tomb Raider - The Cradle of Life,2003,https://boxd.it/27FS
2020-12-16,The Fugitive,1993,https://boxd.it/230G
2020-12-16,The Manchurian Candidate,1962,https://boxd.it/299Y
2020-12-16,Big,1988,https://boxd.it/271S
2020-12-16,Cobain: Montage of Heck,2015,https://boxd.it/akuY
2020-12-16,Hairspray,1988,https://boxd.it/1UKK
2020-12-16,When We Were Kings,1996,https://boxd.it/1VZm
2020-12-16,Hoop Dreams,1994,https://boxd.it/1Opc
2020-12-16,A Streetcar Named Desire,1951,https://boxd.it/29Mc
2020-12-16,Good Will Hunting,1997,https://boxd.it/2ahY
2020-12-16,Hot Fuzz,2007,https://boxd.it/2416
2020-12-16,Emma.,2020,https://boxd.it/kmg0
2020-12-16,Bridesmaids,2011,https://boxd.it/rac
2020-12-16,All the President's Men,1976,https://boxd.it/29lU
2020-12-20,Singin' in the Rain,1952,https://boxd.it/29oY
2020-12-21,General Magic,2018,https://boxd.it/iE1o
2020-12-21,Macheads,2009,https://boxd.it/1Ios
2020-12-21,Steve Jobs: The Lost Interview,2012,https://boxd.it/3akA
2020-12-26,Home Alone,1990,https://boxd.it/29Fg
2020-12-26,"ariana grande: excuse me, i love you",2020,https://boxd.it/t6gw
2020-12-27,Terminal,2018,https://boxd.it/dqSo
2020-12-27,Safety Not Guaranteed,2012,https://boxd.it/2Y3M
2021-01-02,Soul,2020,https://boxd.it/ioLA
2021-01-10,The Disaster Artist,2017,https://boxd.it/cTqc
2021-01-10,The Endless,2017,https://boxd.it/ffyw
2021-01-10,Cam,2018,https://boxd.it/iWvG
2021-01-28,Archive,2020,https://boxd.it/mnyy
2021-02-08,Earwig and the Witch,2020,https://boxd.it/pu34
2021-02-14,Drumline,2002,https://boxd.it/1Q2Y
2021-02-14,Judas and the Black Messiah,2021,https://boxd.it/lsew
2021-02-16,George of the Jungle,1997,https://boxd.it/1VQO
2021-03-08,The Godfather,1972,https://boxd.it/2aNK
2021-03-08,Minority Report,2002,https://boxd.it/2aWi
2021-03-25,Clifford the Big Red Dog,2021,https://boxd.it/lwEo
2021-03-25,Son of the South,2020,https://boxd.it/pCJ8
2021-04-04,The Thief Lord,2006,https://boxd.it/1Yty
2021-05-26,Virtuality,2009,https://boxd.it/18S2
2021-05-26,Inkheart,2008,https://boxd.it/26XG
2021-05-26,Take a Girl Like You,2000,https://boxd.it/499S
2021-05-26,Crystal's Shadow,2019,https://boxd.it/mX2y
2021-05-26,The Future Lasts A Long Time,1996,https://boxd.it/n1Yc
2021-05-26,A Banquet,2021,https://boxd.it/t8Ay
2021-05-26,Riders,1993,https://boxd.it/f5ym
2021-05-26,Rabbit Fever,2006,https://boxd.it/173i
2021-05-26,Love Actually,2003,https://boxd.it/2aeU
2021-05-26,Helen of Troy,2003,https://boxd.it/7cWY
2021-05-26,Gunless,2010,https://boxd.it/Vjy
2021-06-09,Midsommar,2019,https://boxd.it/jhxe
2021-06-09,The 3rd Annual Live 'On Cinema' Oscar Special,2015,https://boxd.it/eNpw
2021-06-09,Whiplash,2014,https://boxd.it/7bQA
2021-06-09,Green Book,2018,https://boxd.it/hErk
2021-06-20,Us,2019,https://boxd.it/gnV6
2021-07-26,Monsters University,2013,https://boxd.it/bQm
2021-07-27,The Haunting of Sharon Tate,2019,https://boxd.it/icDY
2021-07-27,Flock of Dudes,2015,https://boxd.it/bhMs
2021-08-03,The Forger,2012,https://boxd.it/3sMW
2021-09-17,Black Is King,2020,https://boxd.it/qXu6
2021-10-27,Chaplin,1992,https://boxd.it/1WgW
2021-10-30,Springboard: The Secret History of the First Real Smartphone,2021,https://boxd.it/xhNa
2021-12-22,The Hand of God,2021,https://boxd.it/r5uI
2021-12-22,Kiss Kiss Bang Bang,2005,https://boxd.it/23c8
2022-01-08,Encanto,2021,https://boxd.it/kPRu
2022-01-27,Munich: The Edge of War,2021,https://boxd.it/sy84
2022-01-28,The Power of the Dog,2021,https://boxd.it/m99E
2022-03-16,But I'm a Cheerleader,1999,https://boxd.it/1CW4
2022-04-01,Turning Red,2022,https://boxd.it/ipkq
2022-04-01,Drive My Car,2021,https://boxd.it/sv94
2022-04-01,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2022-04-01,Dune,2021,https://boxd.it/fA7G
2022-04-20,Titanic II,2010,https://boxd.it/QMg
