"Date","Abbreviation","Expansions","Label","Group"
"Jan 1, 2022","","3","At the end of the god damned day.","Cliché Consequences"
"Jan 1, 2022","at the end of the day","1","At the end of the god damned day.","Extratext"
"Jan 1, 2022","at the end of the day","1","ultimately","Cliché Corrections"
"Jan 1, 2022","ole'","1","","Accented Words"
"Jan 2, 2022","aud","2","<audio> Element Embed","Extratext"
"Jan 2, 2022","gm3","1","Good Morning 3","Extratext"
"Jan 2, 2022","more","2","Read More Tag","Extratext"
"Jan 8, 2022","down","1","⇩","Extratext"
"Jan 8, 2022","gm2","2","Good Morning 2","Extratext"
"Jan 8, 2022","ole'","1","","Accented Words"
"Jan 8, 2022","ts","1","Timestamp in DavodTime","Extratext"
"Jan 8, 2022","up","1","⇧","Extratext"
"Jan 8, 2022","wget","1","wget","Extratext"
"Jan 9, 2022","","1","At the end of the god damned day.","Cliché Consequences"
"Jan 9, 2022","gm1","1","Good Morning 1","Extratext"
"Jan 9, 2022","gm2","2","Good Morning 2","Extratext"
"Jan 9, 2022","gm3","1","Good Morning 3","Extratext"
"Jan 9, 2022","opt","1","opt ⇨ ⌥","Extratext"
"Jan 9, 2022","right","1","⇨","Extratext"
"Jan 9, 2022","rs","9","Terminal Shortcuts CLI","Extratext"
"Jan 9, 2022","ts","3","Timestamp in DavodTime","Extratext"
"Jan 9, 2022","ttm","2","","Symbols"
"Jan 9, 2022","up","2","⇧","Extratext"
"Jan 10, 2022","biotxt","1","Bio in Rich Text","Extratext"
"Jan 10, 2022","mdbio","2","Biography","Extratext"
"Jan 10, 2022","opt","2","opt ⇨ ⌥","Extratext"
"Jan 10, 2022","rs","5","Terminal Shortcuts CLI","Extratext"
"Jan 10, 2022","tblstart","4","Start Markdown Table","Extratext"
"Jan 10, 2022","ts","2","Timestamp in DavodTime","Extratext"
"Jan 10, 2022","twt","1","Twitter","Extratext"
"Jan 10, 2022","up","2","⇧","Extratext"
"Jan 10, 2022","wget","1","wget","Extratext"
