Name,Type,Date,Download Speed,Upload Speed
AT&T,Cell,"02/11/21, 20:47",62.6 Mbps (7.83 MB/s),26.8 Mbps (3.35 MB/s)
long1950-5G,Wi-Fi,"02/6/21, 22:37",212 Mbps (26.5 MB/s),2.67 Mbps (333 kB/s)
long1950-5G,Wi-Fi,"02/5/21, 08:52",486 Mbps (60.8 MB/s),2.78 Mbps (348 kB/s)
long1950-5G,Wi-Fi,"01/29/21, 14:46",199 Mbps (24.8 MB/s),2.76 Mbps (345 kB/s)
long1950-5G,Wi-Fi,"01/27/21, 13:57",597 Mbps (74.6 MB/s),12.3 Mbps (1.54 MB/s)
AT&T,Cell,"01/21/21, 09:50",24.7 Mbps (3.09 MB/s),5.09 Mbps (636 kB/s)
long1950-5G,Wi-Fi,"01/20/21, 08:07",381 Mbps (47.7 MB/s),1.70 Mbps (213 kB/s)
AT&T,Cell,"01/13/21, 07:10",56.7 Mbps (7.09 MB/s),12.1 Mbps (1.52 MB/s)
long1950-5G,Wi-Fi,"01/12/21, 17:25",191 Mbps (23.9 MB/s),1.45 Mbps (182 kB/s)
AT&T,Cell,"01/11/21, 14:05",79.8 Mbps (9.98 MB/s),26.5 Mbps (3.31 MB/s)
long1950-5G,Wi-Fi,"12/30/20, 16:06",193 Mbps (24.2 MB/s),40.8 Mbps (5.11 MB/s)
AT&T,Cell,"12/25/20, 12:53",23.6 Mbps (2.95 MB/s),1.16 Mbps (145 kB/s)
AT&T,Cell,"12/25/20, 11:24",17.5 Mbps (2.19 MB/s),984 kbps (123 kB/s)
AT&T,Cell,"12/24/20, 14:13",30.2 Mbps (3.78 MB/s),7.13 Mbps (892 kB/s)
AT&T,Cell,"12/21/20, 03:07",42.4 Mbps (5.31 MB/s),21.6 Mbps (2.71 MB/s)
long1950-5G,Wi-Fi,"12/21/20, 03:05",36.1 Mbps (4.51 MB/s),13.1 Mbps (1.64 MB/s)
long1950-5G,Wi-Fi,"12/20/20, 18:47",350 Mbps (43.8 MB/s),22.1 Mbps (2.76 MB/s)
long1950-5G,Wi-Fi,"12/20/20, 08:29",361 Mbps (45.1 MB/s),15.8 Mbps (1.98 MB/s)
AT&T,Cell,"12/20/20, 03:28",158 Mbps (19.7 MB/s),18.1 Mbps (2.26 MB/s)
long1950-5G,Wi-Fi,"12/20/20, 03:26",145 Mbps (18.1 MB/s),2.57 Mbps (322 kB/s)
AT&T,Cell,"12/20/20, 03:15",136 Mbps (17.0 MB/s),21.7 Mbps (2.72 MB/s)
AT&T,Cell,"12/20/20, 03:10",141 Mbps (17.6 MB/s),18.4 Mbps (2.31 MB/s)
AT&T,Cell,"12/20/20, 03:08",116 Mbps (14.5 MB/s),14.2 Mbps (1.77 MB/s)
long1950,Wi-Fi,"12/20/20, 03:04",100 Mbps (12.5 MB/s),2.60 Mbps (325 kB/s)
long1950-5G,Wi-Fi,"12/20/20, 03:03",310 Mbps (38.8 MB/s),2.11 Mbps (264 kB/s)
AT&T,Cell,"12/19/20, 15:23",73.3 Mbps (9.16 MB/s),8.54 Mbps (1.06 MB/s)
long1950-5G,Wi-Fi,"12/19/20, 10:16",324 Mbps (40.5 MB/s),24.3 Mbps (3.04 MB/s)
AT&T,Cell,"12/18/20, 18:08",103 Mbps (12.9 MB/s),14.5 Mbps (1.82 MB/s)
long1950-5G,Wi-Fi,"12/14/20, 11:11",314 Mbps (39.2 MB/s),18.7 Mbps (2.34 MB/s)
AT&T,Cell,"12/14/20, 04:02",135 Mbps (16.9 MB/s),20.3 Mbps (2.54 MB/s)
AT&T,Cell,"12/14/20, 03:01",97.4 Mbps (12.1 MB/s),21.0 Mbps (2.63 MB/s)
long1950-5G,Wi-Fi,"12/14/20, 03:00",371 Mbps (46.4 MB/s),23.4 Mbps (2.93 MB/s)
long1950-5G,Wi-Fi,"12/13/20, 21:21",383 Mbps (47.9 MB/s),22.0 Mbps (2.75 MB/s)
AT&T,Cell,"12/12/20, 22:45",65.5 Mbps (8.19 MB/s),11.4 Mbps (1.43 MB/s)
AT&T,Cell,"12/12/20, 22:40",115 Mbps (14.4 MB/s),8.75 Mbps (1.09 MB/s)
long1950,Wi-Fi,"12/12/20, 22:29",90.2 Mbps (11.2 MB/s),35.5 Mbps (4.43 MB/s)
long1950-5G,Wi-Fi,"12/12/20, 22:26",380 Mbps (47.6 MB/s),29.1 Mbps (3.64 MB/s)
