Table 1/3: DMCA Takedown Notices,,,,,,,,,,,,,
Time period start,Twitter copyright notices,Periscope copyright notices,Vine copyright notices,Twitter percentage material removed,Periscope percentage material removed,Vine percentage material removed,Twitter accounts affected,Periscope accounts affected,Vine accounts affected,Twitter media withheld,Periscope media withheld,Vine media withheld,Tweets withheld
2020-01-01,153325,20661,(null),0.545,0.758,(null),1216626,7486,(null),1587560,8359,(null),1120593
2019-07-01,122758,28191,(null),0.48,0.833,(null),641715,11666,(null),811544,13100,(null),133920
2019-01-01,106951,26331,(null),0.451,0.836,(null),219304,29105,(null),266699,32499,(null),113015
2018-07-01,53049,23771,(null),0.627,0.846,(null),216667,19998,(null),277509,22668,(null),77350
2018-01-01,58100,37027,(null),0.698,0.794,(null),219304,29105,(null),266699,32499,(null),113015
2017-07-01,54187,30783,(null),0.804,0.866,(null),154106,22633,(null),165397,26104,(null),98480
2017-01-01,33641,27652,194,0.751,0.714,0.531,89848,19219,94,113804,18789,205,64021
2016-07-01,34497,26409,4830,0.66,0.703,0.597,75846,13325,2132,86091,17905,3747,75869
2016-01-01,24874,23602,6858,0.752,0.771,0.724,63947,12544,12811,49298,17211,20079,79513
2015-07-01,19039,10188,5777,0.715,0.804,0.706,38427,6958,6469,22815,9252,13840,56971
2015-01-01,14694,1391,2405,0.675,0.713,0.677,22880,864,4334,19181,1029,11426,47882
2014-07-01,16648,(null),(null),0.659,(null),(null),17359,(null),(null),17809,(null),(null),32462
2014-01-01,9199,(null),(null),0.759,(null),(null),9678,(null),(null),15088,(null),(null),30870
2013-07-01,6680,(null),(null),0.618,(null),(null),12243,(null),(null),5847,(null),(null),26506
2013-01-01,5753,(null),(null),0.607,(null),(null),22399,(null),(null),3993,(null),(null),18413
2012-07-01,3268,(null),(null),0.536,(null),(null),7205,(null),(null),1648,(null),(null),5557
2012-01-01,3378,(null),(null),0.388,(null),(null),5874,(null),(null),599,(null),(null),5275
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Table 2/3: Top Copyright Reporters,,,,,,,,,,,,,
Time period start,Reporter name,Takedown notices,Percentage of takedown notices per period,Materials withheld,,,,,,,,,
2020-01-01,IFPI,25410,0.165,857529,,,,,,,,,
2020-01-01,LaLiga,5614,0.036,26834,,,,,,,,,
2020-01-01,Leak ID,6711,0.043,3334,,,,,,,,,
2020-01-01,NetResult,6394,0.041,2421,,,,,,,,,
2020-01-01,Universal Music Group,21950,0.143,496485,,,,,,,,,
2019-07-01,Aiplex Software Private Limited,4928,0.04,12426,,,,,,,,,
2019-07-01,Athletia Sports,5422,0.044,25423,,,,,,,,,
