Table 1/2: Government Information Requests,,,,,,,,,,,,
Time period start,Country,Routine requests,Emergency requests,Combined requests,Routine compliance rate,Emergency compliance rate,Combined compliance rate,Routine accounts specified,Emergency accounts specified,Combined accounts specified,Preservation accounts,Preservation requests
2020-01-01,Argentina,36,14,50,0,0.14,0.04,52,14,66,76,55
2020-01-01,Australia,16,11,27,0.31,0,0.19,86,12,98,68,25
2020-01-01,Austria,3,2,5,0.33,0,0.2,4,2,6,0,0
2020-01-01,Bangladesh,0,2,2,(null),0,0,0,2,2,0,0
2020-01-01,Belgium,41,3,44,0.66,0,0.61,111,1,112,0,0
2020-01-01,Brazil,104,36,140,0.16,0,0.12,224,44,268,486,75
2020-01-01,Canada,24,37,61,0.58,0.3,0.41,39,39,78,361,54
2020-01-01,Chile,19,5,24,0,0,0,21,15,36,2,2
2020-01-01,Colombia,16,4,20,0,0,0,25,6,31,33,23
2020-01-01,Croatia,0,1,1,(null),0,0,0,1,1,0,0
2020-01-01,Czech Republic,1,1,2,0,0,0,1,2,3,2,1
2020-01-01,Denmark,3,0,3,0,(null),0,3,0,3,2,1
2020-01-01,Dominican Republic,0,1,1,(null),0,0,0,1,1,0,0
2020-01-01,Ecuador,5,0,5,0,(null),0,9,0,9,29,13
2020-01-01,El Salvador,4,0,4,0,(null),0,5,0,5,7,6
2020-01-01,Finland,5,1,6,0.2,1,0.33,6,1,7,0,0
2020-01-01,France,1951,62,2013,0.72,0.06,0.7,2198,75,2273,2,1
2020-01-01,Germany,474,69,543,0.19,0.22,0.19,623,85,708,139,123
2020-01-01,Ghana,0,0,0,(null),(null),(null),0,0,0,1,1
2020-01-01,Greece,11,3,14,0,0,0,12,3,15,56,11
2020-01-01,Guatemala,1,2,3,0,0,0,1,2,3,3,2
2020-01-01,Hong Kong SAR,10,0,10,0,(null),0,10,0,10,0,0
2020-01-01,Hungary,1,1,2,0,0,0,5,4,9,4,2
2020-01-01,Iceland,0,0,0,(null),(null),(null),0,0,0,1,1
2020-01-01,India,2367,246,2613,0.01,0.01,0.01,5906,440,6346,2366,526
2020-01-01,Indonesia,2,1,3,0,0,0,2,1,3,1,1
2020-01-01,Iraq,1,3,4,0,0,0,1,3,4,0,0
2020-01-01,Ireland,13,0,13,0.15,(null),0.15,25,0,25,36,24
2020-01-01,Israel,0,8,8,(null),0,0,0,8,8,0,0
2020-01-01,Italy,61,21,82,0.13,0,0.1,101,22,123,38,26
2020-01-01,Jamaica,0,0,0,(null),(null),(null),0,0,0,1,1
2020-01-01,Japan,1282,285,1567,0.36,0.2,0.33,1716,323,2039,2,2
2020-01-01,Jordan,0,5,5,(null),0,0,0,6,6,0,0
2020-01-01,Kenya,0,0,0,(null),(null),(null),0,0,0,5,1
2020-01-01,Kuwait,0,2,2,(null),0,0,0,2,2,0,0
2020-01-01,Luxembourg,1,0,1,0,(null),0,1,0,1,1,1
2020-01-01,Macedonia,11,0,11,0,(null),0,11,0,11,2,2
2020-01-01,Malaysia,0,5,5,(null),0,0,0,5,5,0,0
2020-01-01,Maldives,3,0,3,0,(null),0,3,0,3,0,0
2020-01-01,Malta,1,0,1,0,(null),0,1,0,1,0,0
2020-01-01,Mexico,46,26,72,0,0.08,0.03,86,39,125,13,11
2020-01-01,Mongolia,1,0,1,0,(null),0,1,0,1,0,0
2020-01-01,Montenegro,0,1,1,(null),0,0,0,1,1,0,0
2020-01-01,Nepal,5,0,5,0,(null),0,9,0,9,0,0
2020-01-01,Netherlands,21,11,32,0.43,0.18,0.34,23,13,36,12,12
2020-01-01,New Zealand,1,2,3,0,0.5,0.33,1,2,3,0,0
2020-01-01,Oman,0,1,1,(null),0,0,0,1,1,0,0
2020-01-01,Pakistan,9,9,18,0,0,0,28,10,38,1,1
2020-01-01,Panama,2,0,2,0,(null),0,2,0,2,0,0
2020-01-01,Paraguay,2,0,2,0,(null),0,2,0,2,2,2
2020-01-01,Peru,0,1,1,(null),0,0,0,1,1,1,1
2020-01-01,Philippines,0,0,0,(null),(null),(null),0,0,0,20,3
2020-01-01,Poland,26,20,46,0,0.05,0.02,47,25,72,5,4
2020-01-01,Portugal,4,1,5,0,0,0,4,1,5,4,4
2020-01-01,Puerto Rico,0,0,0,(null),(null),(null),0,0,0,1,1
2020-01-01,Qatar,0,3,3,(null),0,0,0,3,3,0,0
2020-01-01,Romania,0,1,1,(null),0,0,0,2,2,0,0
2020-01-01,Saudi Arabia,0,2,2,(null),0,0,0,2,2,0,0
2020-01-01,Serbia,8,10,18,0,0,0,8,11,19,1,1
