Table 1/5: USA State Information Requests,,,,
Time period start,State,Information requests,Compliance,Accounts specified
2020-01-01,Alabama,7,0.57,25
2020-01-01,Alaska,6,0.67,31
2020-01-01,Arizona,47,0.53,81
2020-01-01,Arkansas,20,0.45,25
2020-01-01,California,361,0.65,971
2020-01-01,Colorado,22,0.64,44
2020-01-01,Connecticut,14,0.5,19
2020-01-01,Delaware,3,0.67,6
2020-01-01,District of Columbia,673,0.76,960
2020-01-01,Florida,160,0.65,347
2020-01-01,Georgia,52,0.56,64
2020-01-01,Hawaii,5,1,7
2020-01-01,Idaho,7,0.29,14
2020-01-01,Illinois,100,0.63,223
2020-01-01,Indiana,17,0.76,36
2020-01-01,Iowa,10,0.8,16
2020-01-01,Kansas,13,0.69,33
2020-01-01,Kentucky,10,0.6,12
2020-01-01,Louisiana,38,0.61,51
2020-01-01,Maine,2,1,2
2020-01-01,Maryland,73,0.53,122
2020-01-01,Massachusetts,59,0.59,137
2020-01-01,Michigan,41,0.63,49
2020-01-01,Minnesota,25,0.56,26
2020-01-01,Mississippi,12,0.25,12
2020-01-01,Missouri,31,0.55,63
2020-01-01,Nebraska,9,0.67,9
2020-01-01,Nevada,27,0.44,38
2020-01-01,New Hampshire,5,0.4,6
2020-01-01,New Jersey,85,0.62,193
2020-01-01,New Mexico,5,1,5
2020-01-01,New York,414,0.6,3889
2020-01-01,North Carolina,34,0.62,75
2020-01-01,North Dakota,2,1,8
2020-01-01,Ohio,68,0.59,99
2020-01-01,Oklahoma,189,0.1,211
2020-01-01,Oregon,22,0.5,48
2020-01-01,Pennsylvania,166,0.55,650
2020-01-01,Rhode Island,6,0.33,6
2020-01-01,South Carolina,12,0.42,16
2020-01-01,South Dakota,7,0.71,7
2020-01-01,Tennessee,23,0.57,65
2020-01-01,Texas,161,0.48,457
2020-01-01,US Embassies,39,0.33,121
2020-01-01,Utah,14,0.64,27
2020-01-01,Vermont,5,1,6
2020-01-01,Virginia,194,0.62,418
2020-01-01,Washington,60,0.7,126
2020-01-01,West Virginia,42,0.14,47
2020-01-01,Wisconsin,31,0.65,59
2020-01-01,Wyoming,1,1,3
2019-07-01,Alabama,10,0.4,37
2019-07-01,Arizona,19,0.53,27
2019-07-01,Arkansas,7,0.86,12
2019-07-01,California,261,0.61,461
2019-07-01,Colorado,21,0.76,35
2019-07-01,Connecticut,5,0.6,7
2019-07-01,Delaware,2,0.5,2
2019-07-01,District of Columbia,334,0.72,4275
2019-07-01,Florida,133,0.63,401
2019-07-01,Georgia,43,0.63,56
2019-07-01,Hawaii,2,0.5,2
2019-07-01,Idaho,2,0.5,3
2019-07-01,Illinois,58,0.57,1055
2019-07-01,Indiana,21,0.62,29
2019-07-01,Iowa,9,0.11,8
